"date","sales","sales change round %","data quarterly","sales quarterly"
"2/1/1992","3458","-0.03%","1992 Q2","13314"
"3/1/1992","4002","15.73%","1992 Q3","12729"
"4/1/1992","4564","14.04%","1992 Q4","13435"
"5/1/1992","4221","-7.52%","1993 Q1","10452"
"6/1/1992","4529","7.30%","1993 Q2","13380"
"7/1/1992","4466","-1.39%","1993 Q3","13279"
"8/1/1992","4137","-7.37%","1993 Q4","13710"
"9/1/1992","4126","-0.27%","1994 Q1","10895"
"10/1/1992","4259","3.22%","1994 Q2","13706"
"11/1/1992","4240","-0.45%","1994 Q3","13417"
"12/1/1992","4936","16.42%","1994 Q4","14003"
"1/1/1993","3031","-38.59%","1995 Q1","11123"
"2/1/1993","3261","7.59%","1995 Q2","13683"
"3/1/1993","4160","27.57%","1995 Q3","13458"
"4/1/1993","4377","5.22%","1995 Q4","14231"
"5/1/1993","4307","-1.60%","1996 Q1","11944"
"6/1/1993","4696","9.03%","1996 Q2","14674"
"7/1/1993","4458","-5.07%","1996 Q3","14368"
"8/1/1993","4457","-0.02%","1996 Q4","14959"
"9/1/1993","4364","-2.09%","1997 Q1","12037"
"10/1/1993","4236","-2.93%","1997 Q2","14902"
"11/1/1993","4500","6.23%","1997 Q3","15235"
"12/1/1993","4974","10.53%","1997 Q4","16138"
"1/1/1994","3075","-38.18%","1998 Q1","12713"
"2/1/1994","3377","9.82%","1998 Q2","15774"
"3/1/1994","4443","31.57%","1998 Q3","16057"
"4/1/1994","4261","-4.10%","1998 Q4","17215"
"5/1/1994","4460","4.67%","1999 Q1","13946"
"6/1/1994","4985","11.77%","1999 Q2","17246"
"7/1/1994","4324","-13.26%","1999 Q3","17338"
"8/1/1994","4719","9.14%","1999 Q4","18800"
"9/1/1994","4374","-7.31%","2000 Q1","15203"
"10/1/1994","4248","-2.88%","2000 Q2","18461"
"11/1/1994","4784","12.62%","2000 Q3","18153"
"12/1/1994","4971","3.91%","2000 Q4","19520"
"1/1/1995","3370","-32.21%","2001 Q1","16191"
"2/1/1995","3484","3.38%","2001 Q2","19360"
"3/1/1995","4269","22.53%","2001 Q3","18789"
"4/1/1995","3994","-6.44%","2001 Q4","20514"
"5/1/1995","4715","18.05%","2002 Q1","16896"
"6/1/1995","4974","5.49%","2002 Q2","20502"
"7/1/1995","4223","-15.10%","2002 Q3","20176"
"8/1/1995","5000","18.40%","2002 Q4","21615"
"9/1/1995","4235","-15.30%","2003 Q1","17349"
"10/1/1995","4554","7.53%","2003 Q2","21018"
"11/1/1995","4851","6.52%","2003 Q3","21468"
"12/1/1995","4826","-0.52%","2003 Q4","23009"
"1/1/1996","3699","-23.35%","2004 Q1","18572"
"2/1/1996","3983","7.68%","2004 Q2","22345"
"3/1/1996","4262","7.00%","2004 Q3","21944"
"4/1/1996","4619","8.38%","2004 Q4","24057"
"5/1/1996","5219","12.99%","2005 Q1","19517"
"6/1/1996","4836","-7.34%","2005 Q2","24260"
"7/1/1996","4941","2.17%","2005 Q3","23589"
"8/1/1996","5062","2.45%","2005 Q4","24859"
"9/1/1996","4365","-13.77%","2006 Q1","20579"
"10/1/1996","5012","14.82%","2006 Q2","25505"
"11/1/1996","4850","-3.23%","2006 Q3","24985"
"12/1/1996","5097","5.09%","2006 Q4","27313"
"1/1/1997","3758","-26.27%","2007 Q1","21565"
